Feature,Importance
errorBalanceOrig,0.46941757213385826
oldbalanceOrg,0.1456004352584658
is_drain_account,0.11833887480904155
newbalanceOrig,0.061693283573352596
amount_to_oldbalance_ratio,0.05836451639892328
amount,0.030071429857101928
newbalanceDest,0.029486916019589717
step,0.029291688408329814
oldbalanceDest,0.01590902483354997
errorBalanceDest,0.015752181999419173
hour_of_day,0.010236207354886392
type_TRANSFER,0.008638564825717704
is_large_transaction,0.0060896940109397245
is_night_transaction,0.0011096105168241109
