Feature,Importance
errorBalanceOrig,0.41099183220206403
oldbalanceOrg,0.16064922398526707
is_drain_account,0.10903162265434647
newbalanceDest,0.05953307465067627
amount_to_oldbalance_ratio,0.051866352411937856
newbalanceOrig,0.04917918918207858
errorBalanceDest,0.04656838745837465
amount,0.028679078494476536
hour_of_day,0.025271966343207074
step,0.0217453898872732
oldbalanceDest,0.017222756137299688
type_TRANSFER,0.008801013504304244
is_night_transaction,0.0054945096256991885
is_large_transaction,0.004965603462995152
